Title,Price,Furnished,Bathroom,Carpet Area,Tenant,Status
"1 BHK Flat for Rent in Electronic City, Bangalore",14500.0,Semi-Furnished,1,300,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Nobel Residency Road, Bangalore",32000.0,Furnished,1,715,Bachelors,Immediately
"1 BHK Flat for Rent in Kudlu Gate, Bangalore",15000.0,Semi-Furnished,1,700,Bachelors,Immediately
"1 BHK Flat for Rent in Whitefield, Bangalore",28000.0,Furnished,1,550,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Phase 7 JP Nagar, Bangalore",15000.0,Semi-Furnished,1,700,Bachelors,Immediately
"1 BHK Flat for Rent in Kalena Agrahara, Bangalore",17500.0,Semi-Furnished,1,600,Bachelors,Immediately
"1 BHK Flat for Rent in Bellandur, Outer Ring Road, Bangalore",32000.0,Furnished,1,700,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Phase 2 Electronic City, Bangalore",14000.0,Semi-Furnished,1,400,Bachelors,Immediately
"1 BHK Flat for Rent in Amrita Nagar, Bangalore",23000.0,Furnished,1,550,Bachelors/Family,Immediately
"1 BHK Flat for Rent in HAL Old Airport Road, Bangalore",32000.0,Furnished,1,250,Bachelors,Immediately
"1 BHK Flat for Rent in Hebbal, Bangalore",40000.0,Furnished,1,486,Bachelors,Immediately
"1 BHK Flat for Rent in Thanisandra, Bangalore",28000.0,Semi-Furnished,1,600,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Ashwini Layout, Ejipura, Bangalore",39000.0,Furnished,1,450,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Krishnarajapura, Bangalore",35500.0,Semi-Furnished,1,650,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Rajajinagar, Bangalore",16000.0,Semi-Furnished,1,520,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Marenahalli - Vijaynagar, West Of Chord Road, Bangalore",24000.0,Semi-Furnished,1,600,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Kadugodi Colony, Kadugodi Plantation, Bangalore",14500.0,Semi-Furnished,1,600,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Whitefield, Bangalore",13000.0,Furnished,1,650,Bachelors,Immediately
"1 BHK Flat for Rent in Block 7th Jayanagar, Bangalore",22000.0,Furnished,1,400,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Sarjapur Road, Bangalore",38000.0,Semi-Furnished,1,450,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Kadabagere, Bangalore",6000.0,Unfurnished,1,650,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Hulimavu, Bangalore",25000.0,Semi-Furnished,1,600,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Meenakshi Layout Choodasandra, Bangalore",14000.0,Furnished,1,300,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Doddathoguru, Bangalore",13000.0,Semi-Furnished,1,300,Bachelors,Immediately
"1 BHK Flat for Rent in D Group Employees Layout, Bangalore",10000.0,Semi-Furnished,1,600,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Neeladri Investment Layout, Bangalore",8500.0,Furnished,1,500,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Begur Road, Bangalore",16000.0,Furnished,2,470,Bachelors,Immediately
1 BHK Flat for Rent in Bangalore,28000.0,Semi-Furnished,1,620,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Sarjapur Road, Bangalore",26000.0,Unfurnished,1,1100,Bachelors/Family,Immediately
"1 BHK Flat for Rent in J P Nagar, Bangalore",12000.0,Furnished,1,650,Bachelors,Immediately
