Title,Price,Furnished,Bathroom,Carpet Area,Tenant,Status
"1 BHK Flat for Rent in Btm Layout, Bangalore","₹27,000",Unfurnished,1,600 sqft,Bachelors,Immediately
"1 BHK Flat for Rent in Seegehalli Krishnarajapura, Bangalore","₹10,000",Unfurnished,1,500 sqft,Bachelors/Family,Immediately
1 BHK Flat for Rent in Bangalore,"₹22,000",Semi-Furnished,1,550 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Doddanekundi, Kartik Nagar, Bangalore","₹28,000",Furnished,1,700 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Anup Layout, Bangalore","₹13,000",Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Phase 2 Electronic City, Bangalore","₹13,000",Semi-Furnished,1,450 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in NS Palya, Bangalore","₹15,000",Unfurnished,1,600 sqft,Bachelors/Family,Immediately
1 BHK Flat for Rent in Bangalore,"₹14,000",Semi-Furnished,1,110 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Whitefield, Bangalore","₹28,000",Furnished,1,550 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Devarachikkana Halli, Bangalore","₹16,000",Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Nayak Layout, JP Nagar Phase 8, Bangalore","₹5,000",Semi-Furnished,1,180 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Hongasandra, Bangalore","₹12,000",Semi-Furnished,1,400 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Jigani, Bangalore","₹8,000",Semi-Furnished,1,650 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Stage 4th BTM Layout, Bangalore","₹17,000",Semi-Furnished,1,500 sqft,Bachelors,Immediately
"1 BHK Flat for Rent in Kudlu, Bangalore","₹19,000",Semi-Furnished,1,400 sqft,Bachelors/Family,From Oct '25
"1 BHK Flat for Rent in Varthur, Bangalore","₹25,000",Semi-Furnished,1,900 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Electronic City, Bangalore","₹10,000",Semi-Furnished,1,390 sqft,Bachelors,From Oct '25
"1 BHK Flat for Rent in Nallurahalli Main Road, Bangalore","₹37,000",Furnished,1,300 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Whitefield, Bangalore","₹15,000",Semi-Furnished,1,421 sqft,Bachelors,From Oct '25
"1 BHK Flat for Rent in Tumkur Road, Bangalore","₹16,000",Furnished,1,630 sqft,Bachelors,Immediately
"1 BHK Flat for Rent in Domlur, Domlur, Bangalore","₹13,500",Semi-Furnished,1,400 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in J P Nagar, Bangalore","₹12,000",Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat for Rent in Madhura Nagar, Bangalore","₹15,000",Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Suddaguntapalya, CV Raman Nagar, Bangalore","₹19,000",Unfurnished,1,500 sqft,Bachelors,Immediately
"1 BHK Flat for Rent in Marathahalli, Bangalore","₹12,000",Semi-Furnished,1,550 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Vishwapriya Nagar, Begur, Bangalore","₹11,500",Semi-Furnished,1,350 sqft,Bachelors,Immediately
"1 BHK Flat for Rent in Thambu Chetty Palya, Bangalore","₹6,500",Semi-Furnished,1,600 sqft,Bachelors,Immediately
"1 BHK Flat for Rent in Varthur, Bangalore","₹29,000",Furnished,1,547 sqft,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Swami Vivekanandanagar Sulikunte, Bangalore","₹11,000",Semi-Furnished,1,600 sqft,Bachelors,Immediately
"1 BHK Flat for Rent in Neeladri Investment Layout, Bangalore","₹15,000",Semi-Furnished,1,300 sqft,Bachelors,Immediately
