Title,Price,Furnished,Bathroom,Carpet Area,Tenant,Status
"1 BHK Flat for Rent in Btm Layout, Bangalore",27000.0,Unfurnished,1,600.0,Bachelors,Immediately
"1 BHK Flat for Rent in Seegehalli Krishnarajapura, Bangalore",10000.0,Unfurnished,1,500.0,Bachelors/Family,Immediately
1 BHK Flat for Rent in Bangalore,22000.0,Semi-Furnished,1,550.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Doddanekundi, Kartik Nagar, Bangalore",28000.0,Furnished,1,700.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Anup Layout, Bangalore",13000.0,Semi-Furnished,1,500.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Phase 2 Electronic City, Bangalore",13000.0,Semi-Furnished,1,450.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in NS Palya, Bangalore",15000.0,Unfurnished,1,600.0,Bachelors/Family,Immediately
1 BHK Flat for Rent in Bangalore,14000.0,Semi-Furnished,1,110.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Whitefield, Bangalore",28000.0,Furnished,1,550.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Devarachikkana Halli, Bangalore",16000.0,Semi-Furnished,1,500.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Nayak Layout, JP Nagar Phase 8, Bangalore",5000.0,Semi-Furnished,1,180.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Hongasandra, Bangalore",12000.0,Semi-Furnished,1,400.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Jigani, Bangalore",8000.0,Semi-Furnished,1,650.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Stage 4th BTM Layout, Bangalore",17000.0,Semi-Furnished,1,500.0,Bachelors,Immediately
"1 BHK Flat for Rent in Kudlu, Bangalore",19000.0,Semi-Furnished,1,400.0,Bachelors/Family,From Oct '25
"1 BHK Flat for Rent in Varthur, Bangalore",25000.0,Semi-Furnished,1,900.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Electronic City, Bangalore",10000.0,Semi-Furnished,1,390.0,Bachelors,From Oct '25
"1 BHK Flat for Rent in Nallurahalli Main Road, Bangalore",37000.0,Furnished,1,300.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Whitefield, Bangalore",15000.0,Semi-Furnished,1,421.0,Bachelors,From Oct '25
"1 BHK Flat for Rent in Tumkur Road, Bangalore",16000.0,Furnished,1,630.0,Bachelors,Immediately
"1 BHK Flat for Rent in Domlur, Domlur, Bangalore",13500.0,Semi-Furnished,1,400.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in J P Nagar, Bangalore",12000.0,Furnished,1,650.0,Bachelors,Immediately
"1 BHK Flat for Rent in Madhura Nagar, Bangalore",15000.0,Furnished,1,500.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Suddaguntapalya, CV Raman Nagar, Bangalore",19000.0,Unfurnished,1,500.0,Bachelors,Immediately
"1 BHK Flat for Rent in Marathahalli, Bangalore",12000.0,Semi-Furnished,1,550.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Vishwapriya Nagar, Begur, Bangalore",11500.0,Semi-Furnished,1,350.0,Bachelors,Immediately
"1 BHK Flat for Rent in Thambu Chetty Palya, Bangalore",6500.0,Semi-Furnished,1,600.0,Bachelors,Immediately
"1 BHK Flat for Rent in Varthur, Bangalore",29000.0,Furnished,1,547.0,Bachelors/Family,Immediately
"1 BHK Flat for Rent in Swami Vivekanandanagar Sulikunte, Bangalore",11000.0,Semi-Furnished,1,600.0,Bachelors,Immediately
"1 BHK Flat for Rent in Neeladri Investment Layout, Bangalore",15000.0,Semi-Furnished,1,300.0,Bachelors,Immediately
